# Bagel Boyz NJ - Price Sheet
# Put new prices in the NEW_PRICE column. Leave blank to keep the current one.
"# Use plain dollars: 7.95  (not $7.95, not 795)"
# Rows marked ASSUMED are ones I guessed - please check those first.

type,section,id,name,current_price,NEW_PRICE,source,check_this
ITEM,Beverages,bev_cold_brew,Cold Brewed Iced Coffee (24 oz),4.50,,menu,
ITEM,Beverages,bev_bottled_water,Bottled Water,2.00,,ASSUMED,"Menu says ""Varies"" — I guessed $2.00"
ITEM,Beverages,bev_soda,Soda,2.50,,ASSUMED,"Menu says ""Varies"" — I guessed $2.50"
ITEM,Beverages,bev_juice,Juice,3.00,,ASSUMED,"Menu says ""Varies"" — I guessed $3.00"
ADD-ON,Served On (bread_choice),hero_roll,Hero Roll,0.75,,derived,"Menu: ""Roll or wrap add $0.75"""
ADD-ON,Served On (bread_choice),wrap,Wrap,0.75,,derived,"Menu: ""Roll or wrap add $0.75"""
ADD-ON,Choose Your Bagel (bagel_type),gluten_free,Gluten Free,2.00,,derived,Gluten Free derived from $3.50 GF bagel vs $1.50 plain
ADD-ON,Choose Your Bagel (bagel_type_only),gluten_free,Gluten Free,2.00,,derived,Gluten Free derived from $3.50 GF bagel vs $1.50 plain
ADD-ON,Choose Your Meat (meat_choice),turkey_bacon,Turkey Bacon,0.99,,derived,"Menu: ""turkey bacon add $0.99"""
ADD-ON,Choose Your Cheese (cheese_choice),american,American,0.00,,ASSUMED,Cheese varieties are not listed on the menu — confirm what you stock
ADD-ON,Choose Your Cheese (cheese_choice),white_american,White American,0.00,,ASSUMED,Cheese varieties are not listed on the menu — confirm what you stock
ADD-ON,Choose Your Cheese (cheese_choice),swiss,Swiss,0.00,,ASSUMED,Cheese varieties are not listed on the menu — confirm what you stock
ADD-ON,Choose Your Cheese (cheese_choice),provolone,Provolone,0.00,,ASSUMED,Cheese varieties are not listed on the menu — confirm what you stock
ADD-ON,Choose Your Cheese (cheese_choice),cheddar,Cheddar,0.00,,ASSUMED,Cheese varieties are not listed on the menu — confirm what you stock
ADD-ON,Choose Your Cheese (cheese_choice),muenster,Muenster,0.00,,ASSUMED,Cheese varieties are not listed on the menu — confirm what you stock
ADD-ON,Choose Your Cheese (cheese_choice),pepper_jack,Pepper Jack,0.00,,ASSUMED,Cheese varieties are not listed on the menu — confirm what you stock
ADD-ON,Choose Your Cheese (cheese_choice),mozzarella,Mozzarella,0.00,,ASSUMED,Cheese varieties are not listed on the menu — confirm what you stock
ADD-ON,Choose Your Cheese (cheese_choice),no_cheese,No Cheese,0.00,,ASSUMED,Cheese varieties are not listed on the menu — confirm what you stock
ADD-ON,Egg Style (egg_style),egg_whites,Egg Whites,0.99,,derived,"Menu: ""Egg whites add $0.99"""
ADD-ON,Cream Cheese Flavor (cream_cheese_flavor),plain,Plain,0.00,,ASSUMED,Flavors are not listed on the menu — confirm what you stock
ADD-ON,Cream Cheese Flavor (cream_cheese_flavor),scallion,Scallion,0.00,,ASSUMED,Flavors are not listed on the menu — confirm what you stock
ADD-ON,Cream Cheese Flavor (cream_cheese_flavor),veggie,Veggie,0.00,,ASSUMED,Flavors are not listed on the menu — confirm what you stock
ADD-ON,Cream Cheese Flavor (cream_cheese_flavor),olive,Olive Pimento,0.00,,ASSUMED,Flavors are not listed on the menu — confirm what you stock
ADD-ON,Add Extras (add_ons),tomato,Tomato,0.50,,derived,Prices taken from the Extras section of the menu
ADD-ON,Add Extras (add_ons),onions,Onions,0.50,,derived,Prices taken from the Extras section of the menu
ADD-ON,Add Extras (add_ons),peppers,Peppers,0.50,,derived,Prices taken from the Extras section of the menu
ADD-ON,Add Extras (add_ons),jalapenos,Jalapeños,0.50,,derived,Prices taken from the Extras section of the menu
ADD-ON,Add Extras (add_ons),pickles,Pickles,0.50,,derived,Prices taken from the Extras section of the menu
ADD-ON,Add Extras (add_ons),spinach,Spinach,1.00,,derived,Prices taken from the Extras section of the menu
ADD-ON,Add Extras (add_ons),avocado,Avocado,1.50,,derived,Prices taken from the Extras section of the menu
ADD-ON,Add Extras (add_ons),hash_brown,Hash Brown,1.75,,derived,Prices taken from the Extras section of the menu
ADD-ON,Add Extras (add_ons),extra_meat,Extra Meat,2.50,,derived,Prices taken from the Extras section of the menu
ADD-ON,Add Extras (add_ons),extra_chz,Extra Cheese,0.75,,derived,Prices taken from the Extras section of the menu
ADD-ON,Condiments (condiments),spk,"SPK (Salt, Pepper, Ketchup)",0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),salt_pepper,Salt & Pepper,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),ketchup,Ketchup,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),mayo,Mayo,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),mustard,Mustard,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),honey_mustard,Honey Mustard,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),russian,Russian Dressing,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),chipotle_mayo,Chipotle Mayo,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),hot_sauce,Hot Sauce,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),oil_vinegar,Oil & Vinegar,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Condiments (condiments),butter,Butter,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Served On (deli_bread),hero_roll,Hero Roll,0.75,,derived,"Menu: ""Roll or wrap add $0.75"""
ADD-ON,Served On (deli_bread),wrap,Wrap,0.75,,derived,"Menu: ""Roll or wrap add $0.75"""
ADD-ON,Choose Your Bagel (deli_bagel_type),gluten_free,Gluten Free,2.00,,derived,Gluten Free derived from $3.50 GF bagel vs $1.50 plain
ADD-ON,Served On (salad_bread),hero_roll,Hero Roll,0.75,,derived,"Menu: ""Roll or wrap add $0.75"""
ADD-ON,Served On (salad_bread),wrap,Wrap,0.75,,derived,"Menu: ""Roll or wrap add $0.75"""
ADD-ON,Choose Your Bagel (salad_bagel_type),gluten_free,Gluten Free,2.00,,derived,Gluten Free derived from $3.50 GF bagel vs $1.50 plain
ADD-ON,Add Cheese? (cheese_optional),american,American,0.75,,ASSUMED,Cheese varieties + $0.75 upcharge from Extras — confirm
ADD-ON,Add Cheese? (cheese_optional),white_american,White American,0.75,,ASSUMED,Cheese varieties + $0.75 upcharge from Extras — confirm
ADD-ON,Add Cheese? (cheese_optional),swiss,Swiss,0.75,,ASSUMED,Cheese varieties + $0.75 upcharge from Extras — confirm
ADD-ON,Add Cheese? (cheese_optional),provolone,Provolone,0.75,,ASSUMED,Cheese varieties + $0.75 upcharge from Extras — confirm
ADD-ON,Add Cheese? (cheese_optional),cheddar,Cheddar,0.75,,ASSUMED,Cheese varieties + $0.75 upcharge from Extras — confirm
ADD-ON,Add Cheese? (cheese_optional),muenster,Muenster,0.75,,ASSUMED,Cheese varieties + $0.75 upcharge from Extras — confirm
ADD-ON,Add Cheese? (cheese_optional),pepper_jack,Pepper Jack,0.75,,ASSUMED,Cheese varieties + $0.75 upcharge from Extras — confirm
ADD-ON,Add Cheese? (cheese_optional),mozzarella,Mozzarella,0.75,,ASSUMED,Cheese varieties + $0.75 upcharge from Extras — confirm
VARIANT,Size (hot_bev_size),small,Small (12 oz),3.00,,menu,
VARIANT,Size (hot_bev_size),medium,Medium (16 oz),3.25,,menu,
VARIANT,Size (hot_bev_size),large,Large (20 oz),3.50,,menu,
ADD-ON,How Do You Take It? (coffee_prep),black,Black,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,How Do You Take It? (coffee_prep),milk,Milk,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,How Do You Take It? (coffee_prep),cream,Cream,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,How Do You Take It? (coffee_prep),oat_milk,Oat Milk,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,How Do You Take It? (coffee_prep),almond_milk,Almond Milk,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,How Do You Take It? (coffee_prep),sugar,Sugar,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,How Do You Take It? (coffee_prep),sweet_n_low,Sweet'N Low,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,How Do You Take It? (coffee_prep),splenda,Splenda,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,How Do You Take It? (coffee_prep),extra_sweet,Extra Sweet,0.00,,ASSUMED,Not listed on the menu — confirm the list
ADD-ON,Which Drink? (hot_bev_kind),coffee,Coffee,0.00,,ASSUMED,Drink list from the Beverages line — confirm
ADD-ON,Which Drink? (hot_bev_kind),decaf,Decaf Coffee,0.00,,ASSUMED,Drink list from the Beverages line — confirm
ADD-ON,Which Drink? (hot_bev_kind),tea,Tea,0.00,,ASSUMED,Drink list from the Beverages line — confirm
ADD-ON,Which Drink? (hot_bev_kind),hot_choc,Hot Chocolate,0.00,,ASSUMED,Drink list from the Beverages line — confirm
ADD-ON,Which Drink? (hot_bev_kind),cappuccino,Cappuccino,0.00,,ASSUMED,Drink list from the Beverages line — confirm
